company,fashion_index_score,ticker,yahoo_name,market_cap,revenue,ebitda,debt,currency,yahoo_resolution_note
John Lewis,32,,,,,,,,no public Yahoo ticker found
River Island,32,,,,,,,,no public Yahoo ticker found
ALDI Nord,31,,,,,,,,no public Yahoo ticker found
GUESS,31,,,,,,,,no public Yahoo ticker found
Tom Tailor,50,,,,,,,,no public Yahoo ticker found
ASOS,50,ASC.L,ASOS Plc,273995603,2294400000,64600000,729000000,GBP,mapped ticker
Converse,50,NKE,"NIKE, Inc.",65751384264,46523000000,3598000000,11178000000,USD,mapped ticker
Jordan,50,NKE,"NIKE, Inc.",65751384264,46523000000,3598000000,11178000000,USD,mapped ticker
Nike,50,NKE,"NIKE, Inc.",65751384264,46523000000,3598000000,11178000000,USD,mapped ticker
Bershka,50,ITX.MC,"Industria de Diseño Textil, S.A.",157544903125,39864173000,11660075000,5457000000,EUR,mapped ticker
Massimo Dutti,50,ITX.MC,"Industria de Diseño Textil, S.A.",157544903125,39864173000,11660075000,5457000000,EUR,mapped ticker
Pull&Bear,50,ITX.MC,"Industria de Diseño Textil, S.A.",157544903125,39864173000,11660075000,5457000000,EUR,mapped ticker
Stradivarius,50,ITX.MC,"Industria de Diseño Textil, S.A.",157544903125,39864173000,11660075000,5457000000,EUR,mapped ticker
Zara,50,ITX.MC,"Industria de Diseño Textil, S.A.",157544903125,39864173000,11660075000,5457000000,EUR,mapped ticker
Tommy Hilfiger,50,PVH,PVH Corp.,4198168425,8950200000,517800000,4298900000,USD,mapped ticker
G-Star RAW,49,,,,,,,,no public Yahoo ticker found
Mango,49,,,,,,,,no public Yahoo ticker found
Superdry,49,,,,,,,,no public Yahoo ticker found
Banana Republic,48,GAP,"The Gap, Inc.",9016595913,15366000000,1721000000,5611000000,USD,mapped ticker
Gap,48,GAP,"The Gap, Inc.",9016595913,15366000000,1721000000,5611000000,USD,mapped ticker
Old Navy,48,GAP,"The Gap, Inc.",9016595913,15366000000,1721000000,5611000000,USD,mapped ticker
Calvin Klein,48,PVH,PVH Corp.,4198168425,8950200000,517800000,4298900000,USD,mapped ticker
Tesco,48,TSCO.L,Tesco PLC,30507884419,73712000000,5054000000,14967000000,GBP,mapped ticker
Speedo,47,,,,,,,,no public Yahoo ticker found
New Balance,46,,,,,,,,no public Yahoo ticker found
ASICS,45,7936.T,ASICS Corporation,3076199211921,810916000000,169717000000,98529000000,JPY,mapped ticker
Esprit,45,,,,,,,,no public Yahoo ticker found
Lindex,44,,,,,,,,no public Yahoo ticker found
Chloe,43,CFR.SW,Compagnie Financière Richemont SA,87309134237,21941000000,6609000000,14813000000,EUR,mapped ticker
Tchibo,43,,,,,,,,no public Yahoo ticker found
s.Oliver,43,,,,,,,,no public Yahoo ticker found
New Look,42,,,,,,,,no public Yahoo ticker found
COACH,42,TPR,"Tapestry, Inc.",28899743191,7514800000,940500000,3943700000,USD,mapped ticker
Jack & Jones,41,,,,,,,,no public Yahoo ticker found
Vero Moda,41,,,,,,,,no public Yahoo ticker found
Kate Spade,41,TPR,"Tapestry, Inc.",28899743191,7514800000,940500000,3943700000,USD,mapped ticker
Levi Strauss & Co,60,LEVI,Levi Strauss & Co.,8568804472,6497700000,949100000,2316600000,USD,mapped ticker
Fendi,58,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",223114031867,80807000000,25850000000,36731000000,EUR,mapped ticker
UGG,57,DECK,Deckers Outdoor Corporation,14319913074,5374707000,1421533000,342882000,USD,mapped ticker
Adidas,56,ADS.DE,adidas AG,26141233166,25250000000,3239000000,5952000000,EUR,mapped ticker
