ticker,region,currency,brands,brand_count,score_avg,score_min,score_max,market_cap,revenue,ebitda,debt,mcap_revenue,ev_revenue,ev_ebitda
MONC.MI,Europe ex-UK,EUR,Moncler,1,27,27,27,13916696892.0,3132128000.0,1266661000.0,1128458000.0,4.443208225206632,4.803492990069372,11.877806999662893
NKE,US-listed,USD,Converse; Jordan; Nike,3,50,50,50,65751384264.0,46523000000.0,3598000000.0,11178000000.0,1.413309207574748,1.6535774619865442,21.38115182434686
NXT.L,UK,GBP,Next,1,36,36,36,15005551347.0,6901300000.0,1624500000.0,1808700000.0,2.174307934302233,2.436388991494356,10.350416341643582
PUM.DE,Europe ex-UK,EUR,Puma,1,66,66,66,3824487351.0,7296200000.0,65000000.0,2582300000.0,0.5241752351909214,0.878099195608673,98.56595924615385
PVH,US-listed,USD,Tommy Hilfiger; Calvin Klein,2,49,48,50,4198168425.0,8950200000.0,517800000.0,4298900000.0,0.4690586160085808,0.9493719050970928,16.409942883352645
RL,US-listed,USD,Ralph Lauren,1,54,54,54,21926894151.0,7833100000.0,1425000000.0,2858700000.0,2.79926135897665,3.164212655398246,17.393399404210527
RMS.PA,Europe ex-UK,EUR,Hermes,1,28,28,28,170148011435.0,16001000000.0,7756000000.0,2346000000.0,10.633586115555278,10.780201952065497,22.24007367650851
ROST,US-listed,USD,Ross Dress for Less,1,6,6,6,73720382188.0,22750559000.0,3389490000.0,5212338000.0,3.2403767392264955,3.4694848679542334,23.287491683999658
RVLV,US-listed,USD,REVOLVE,1,2,2,2,1786819974.0,1225682000.0,80656000.0,32455000.0,1.4578169329401918,1.4842960686377054,22.555978154136085
SBRY.L,UK,GBP,Sainsbury's,1,51,51,51,7325006550.0,33647000000.0,2188000000.0,6608000000.0,0.21770162421612624,0.4140935759503076,6.367918898537477
SFER.MI,Europe ex-UK,EUR,Salvatore Ferragamo,1,24,24,24,1226007565.0,985908000.0,77451000.0,701294000.0,1.2435314096244274,1.9548493013546904,24.884140488825192
SHOO,US-listed,USD,Steve Madden,1,13,13,13,2738282346.0,2534109000.0,123460000.0,486138000.0,1.080570072558047,1.2724079137874496,26.11712575733031
TGT,US-listed,USD,Target,1,37,37,37,58538776475.0,104780000000.0,8346000000.0,20290000000.0,0.5586827302443215,0.7523265554017943,9.445096630122213
TJX,US-listed,USD,TJ Maxx,1,13,13,13,173581114866.0,60372000000.0,8620000000.0,13489000000.0,2.875192388292586,3.098623780328629,21.70186947401392
TPR,US-listed,USD,Tory Burch; COACH; Kate Spade,3,28,1,42,28899743191.0,7514800000.0,940500000.0,3943700000.0,3.845710223958056,4.37050130289562,34.921258044657094
TSCO.L,UK,GBP,Tesco,1,48,48,48,30507884419.0,73712000000.0,5054000000.0,14967000000.0,0.4138794825672889,0.6169264762725201,8.99780063692125
UAA,US-listed,USD,Under Armour,1,28,28,28,2638326982.0,4975792000.0,56505000.0,1688520000.0,0.5302325704129112,0.8695795527626556,76.57458600123883
URBN,US-listed,USD,Anthropologie; Free People; Urban Outfitters,3,13,13,13,5907344332.0,6165376000.0,730342000.0,1225566000.0,0.9581482673562812,1.156930304331804,9.76653448932144
VFC,US-listed,USD,The North Face; Timberland; Vans,3,65.66666666666667,65,66,7437916150.0,9582944000.0,847219000.0,5338701000.0,0.776161913290947,1.333266389744112,15.08065464773571
VSCO,US-listed,USD,Victoria's Secret,1,19,19,19,4213252748.0,6553000000.0,516000000.0,2846000000.0,0.6429502133374028,1.0772551118571647,13.680722379844962
WES.AX,Australia/NZ,AUD,Kmart; Kmart Australia; Target Australia,3,52.666666666666664,6,76,83375163544.0,46286000000.0,6201000000.0,11168000000.0,1.8013041425917125,2.0425866038110874,15.246438242864054
WHS.NZ,Australia/NZ,NZD,The Warehouse,1,17,17,17,227182243.0,3091605000.0,160273000.0,0.0,0.07348359282637983,0.07348359282637983,1.4174704597780037
WMT,US-listed,USD,Walmart,1,23,23,23,1048982351774.0,713163000000.0,46471000000.0,67095000000.0,1.4708872330364868,1.5649681093578887,24.016641599578232
WOW.AX,Australia/NZ,AUD,Big W,1,39,39,39,41717612406.0,70282000000.0,4101000000.0,17385000000.0,0.5935746337042201,0.8409352665831934,14.411756256035114
ZAL.DE,Europe ex-UK,EUR,Zalando,1,40,40,40,5428991974.0,12346200000.0,836200000.0,1441600000.0,0.4397297932967229,0.556494465827542,8.21644579526429
ZGN,Other/EUR,EUR,Ermenegildo Zegna,1,33,33,33,3336910949.0,1916947000.0,439924000.0,977778000.0,1.7407424143703503,2.250812854502498,9.807805323192188
